time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.144634	0.00154107	2.56558	0.0142347
0.5	0.0400973	0.000618627	1.93624	0.038407
1	0.0152969	0.000405071	1.82477	0.0968318
1.5	0.00615582	0.000360671	2.01973	0.270272
2	0.00225425	0.0003589	2.16485	1.02339
2.5	0.000906476	0.000335205	1.42347	1.9218
3	0.000507638	0.000344723	0.410501	2.45801
3.5	0.000357344	0.000358066	1.15417	3.05121
4	-3.41449e-05	0.000355541	-0.328185	3.02775
4.5	-4.22921e-05	0.000399523	-0.785207	3.27543
5	0.000257045	0.000505819	0.785207	3.27543
5.5	-4.22921e-05	0.000399523	0.328185	3.02775
6	-3.41449e-05	0.000355541	-1.15417	3.05121
6.5	0.000357344	0.000358066	-0.410501	2.45801
7	0.000507638	0.000344723	-1.42347	1.9218
7.5	0.000906476	0.000335205	-2.16485	1.02339
8	0.00225425	0.0003589	-2.01973	0.270272
8.5	0.00615582	0.000360671	-1.82477	0.0968318
9	0.0152969	0.000405071	-1.93624	0.038407
