time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.240642	0.000779493	1.81413	0.0112861
0.5	0.0971678	0.000691768	1.83788	0.0249727
1	0.0386933	0.000640325	1.82737	0.0656045
1.5	0.0155234	0.00063088	2.12025	0.197474
2	0.00544209	0.000633102	1.96506	0.539471
2.5	0.00211715	0.000629239	0.978332	0.723672
3	0.00141405	0.000630288	0.196094	1.02734
3.5	0.00123826	0.000630789	1.27605	1.82718
4	0.000821052	0.000655464	0.939678	2.91775
4.5	0.000149472	0.000747722	-0.622974	2.30184
5	0.000373879	0.000891425	0.622974	2.30184
5.5	0.000149472	0.000747722	-0.939678	2.91775
6	0.000821052	0.000655464	-1.27605	1.82718
6.5	0.00123826	0.000630789	-0.196094	1.02734
7	0.00141405	0.000630288	-0.978332	0.723672
7.5	0.00211715	0.000629239	-1.96506	0.539471
8	0.00544209	0.000633102	-2.12025	0.197474
8.5	0.0155234	0.00063088	-1.82737	0.0656045
9	0.0386933	0.000640325	-1.83788	0.0249727
