time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.484351	0.00224202	0.98658	0.00590472
0.5	0.295761	0.0020742	0.974617	0.0100026
1	0.181725	0.0018739	0.974602	0.0147036
1.5	0.111692	0.0017344	0.957101	0.0241113
2	0.0692632	0.00166273	0.9459	0.038565
2.5	0.0431511	0.00164687	0.9962	0.0693868
3	0.026156	0.00167321	0.993113	0.118442
3.5	0.015937	0.00176132	1.01949	0.211657
4	0.00961601	0.00190938	0.861313	0.382976
4.5	0.00658238	0.00210566	0.0573305	0.312806
5	0.00658324	0.00226707	-0.0573305	0.312806
5.5	0.00658238	0.00210566	-0.861313	0.382976
6	0.00961601	0.00190938	-1.01949	0.211657
6.5	0.015937	0.00176132	-0.993113	0.118442
7	0.026156	0.00167321	-0.9962	0.0693868
7.5	0.0431511	0.00164687	-0.9459	0.038565
8	0.0692632	0.00166273	-0.957101	0.0241113
8.5	0.111692	0.0017344	-0.974602	0.0147036
9	0.181725	0.0018739	-0.974617	0.0100026
