time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.46567	0.00228313	0.857748	0.00556037
0.5	0.303314	0.00212597	0.982195	0.0103408
1	0.185668	0.00192462	0.99345	0.0163689
1.5	0.113049	0.00177137	0.969665	0.0266168
2	0.0696396	0.0016958	0.998931	0.0400812
2.5	0.042354	0.00168352	1.03834	0.0733513
3	0.0252956	0.0017039	1.03269	0.124764
3.5	0.0153104	0.00177444	0.989278	0.245538
4	0.00974155	0.00190355	0.946295	0.454246
4.5	0.00660189	0.00211119	0.629905	0.939742
5	0.00549173	0.0022598	-0.629905	0.939742
5.5	0.00660189	0.00211119	-0.946295	0.454246
6	0.00974155	0.00190355	-0.989278	0.245538
6.5	0.0153104	0.00177444	-1.03269	0.124764
7	0.0252956	0.0017039	-1.03834	0.0733513
7.5	0.042354	0.00168352	-0.998931	0.0400812
8	0.0696396	0.0016958	-0.969665	0.0266168
8.5	0.113049	0.00177137	-0.99345	0.0163689
9	0.185668	0.00192462	-0.982195	0.0103408
