time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.480632	0.00219114	0.995993	0.00531523
0.5	0.292099	0.00202518	0.991655	0.00926056
1	0.177894	0.00183048	0.999908	0.016692
1.5	0.107877	0.00170851	1.01878	0.0264284
2	0.0648131	0.00164274	1.00991	0.0462587
2.5	0.0391168	0.00162526	1.07383	0.0790668
3	0.0229359	0.00164649	1.18346	0.145875
3.5	0.0127546	0.00171727	1.24218	0.308213
4	0.00695653	0.00183933	1.57757	1.22327
4.5	0.00361628	0.00203729	0.330766	1.15489
5	0.00316974	0.00220289	-0.330766	1.15489
5.5	0.00361628	0.00203729	-1.57757	1.22327
6	0.00695653	0.00183933	-1.24218	0.308213
6.5	0.0127546	0.00171727	-1.18346	0.145875
7	0.0229359	0.00164649	-1.07383	0.0790668
7.5	0.0391168	0.00162526	-1.00991	0.0462587
8	0.0648131	0.00164274	-1.01878	0.0264284
8.5	0.107877	0.00170851	-0.999908	0.016692
9	0.177894	0.00183048	-0.991655	0.00926056
