time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.023854	0.00354537	0.961419	0.0588696
0.5	0.0147403	0.00235654	0.96476	0.076386
1	0.0091167	0.00162643	0.914709	0.141656
1.5	0.00579848	0.00125779	0.841236	0.193841
2	0.0038428	0.00105998	0.700623	0.238406
2.5	0.00272555	0.000931194	0.811647	0.685594
3	0.00196808	0.000879531	0.935083	0.940536
3.5	0.00136234	0.000895697	1.39234	1.81893
4	0.000756196	0.000957189	-0.397172	1.40251
4.5	0.000646794	0.00107435	-0.173613	1.0368
5	0.000460581	0.00114122	0.173613	1.0368
5.5	0.000646794	0.00107435	0.397172	1.40251
6	0.000756196	0.000957189	-1.39234	1.81893
6.5	0.00136234	0.000895697	-0.935083	0.940536
7	0.00196808	0.000879531	-0.811647	0.685594
7.5	0.00272555	0.000931194	-0.700623	0.238406
8	0.0038428	0.00105998	-0.841236	0.193841
8.5	0.00579848	0.00125779	-0.914709	0.141656
9	0.0091167	0.00162643	-0.96476	0.076386
