time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.456434	0.00672668	1.019	0.0173079
0.5	0.274028	0.00627592	0.983959	0.0333334
1	0.167393	0.00596191	0.932909	0.0585486
1.5	0.105158	0.00586805	0.768736	0.0834524
2	0.0717312	0.00592809	0.683506	0.112103
2.5	0.0515629	0.00592017	0.566493	0.127695
3	0.0390267	0.00592448	0.254104	0.148414
3.5	0.0344795	0.00606206	-0.143272	0.154073
4	0.0369983	0.00630399	0.000193281	0.149769
4.5	0.0370436	0.00677649	0.360642	0.156818
5	0.0308478	0.00719155	-0.360642	0.156818
5.5	0.0370436	0.00677649	-0.000193281	0.149769
6	0.0369983	0.00630399	0.143272	0.154073
6.5	0.0344795	0.00606206	-0.254104	0.148414
7	0.0390267	0.00592448	-0.566493	0.127695
7.5	0.0515629	0.00592017	-0.683506	0.112103
8	0.0717312	0.00592809	-0.768736	0.0834524
8.5	0.105158	0.00586805	-0.932909	0.0585486
9	0.167393	0.00596191	-0.983959	0.0333334
