x	path integral	sigma	exact asymptotic
-3.00000000	0.00001042	0.00000006	0.00000942
-2.80000000	0.00003300	0.00000014	0.00003006
-2.60000000	0.00009613	0.00000069	0.00008851
-2.40000000	0.00026352	0.00000333	0.00024060
-2.20000000	0.00064620	0.00000566	0.00060374
-2.00000000	0.00147848	0.00001014	0.00139849
-1.80000000	0.00315785	0.00005826	0.00299035
-1.60000000	0.00615531	0.00006613	0.00590259
-1.40000000	0.01126914	0.00022853	0.01075522
-1.20000000	0.01878545	0.00007837	0.01809057
-1.00000000	0.02936574	0.00012218	0.02808936
-0.80000000	0.04039203	0.00038593	0.04026130
-0.60000000	0.05491462	0.00023666	0.05327093
-0.40000000	0.06725641	0.00028080	0.06506526
-0.20000000	0.07649396	0.00038253	0.07336088
0.00000000	0.07883348	0.00077581	0.07635479
0.20000000	0.07607747	0.00036289	0.07336088
0.40000000	0.06704793	0.00035772	0.06506526
0.60000000	0.05470694	0.00049245	0.05327093
0.80000000	0.04141214	0.00022959	0.04026130
1.00000000	0.02918044	0.00043018	0.02808936
1.20000000	0.01875099	0.00054121	0.01809057
1.40000000	0.01122634	0.00009216	0.01075522
1.60000000	0.00625537	0.00004591	0.00590259
1.80000000	0.00312621	0.00001774	0.00299035
2.00000000	0.00151329	0.00001199	0.00139849
2.20000000	0.00064120	0.00000495	0.00060374
2.40000000	0.00025660	0.00000173	0.00024060
2.60000000	0.00009568	0.00000043	0.00008851
2.80000000	0.00003324	0.00000018	0.00003006
3.00000000	0.00001032	0.00000008	0.00000942
Estimate of the zero energy level E_0=0.49171189
