time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	1.70445	0.0370971	1.54983	0.0249646
0.5	0.784311	0.0230307	1.2469	0.0283152
1	0.421196	0.012974	1.0995	0.0337032
1.5	0.243024	0.00875021	1.05739	0.0453831
2	0.14345	0.0063692	0.976057	0.0649656
2.5	0.087888	0.00524797	1.07009	0.143097
3	0.0517685	0.00479347	1.09372	0.195369
3.5	0.0303026	0.00465231	0.991482	0.445151
4	0.0191709	0.00506925	1.32345	1.17551
4.5	0.0115819	0.00598359	-0.390675	0.879937
5	0.0133113	0.00729885	0.390675	0.879937
5.5	0.0115819	0.00598359	-1.32345	1.17551
6	0.0191709	0.00506925	-0.991482	0.445151
6.5	0.0303026	0.00465231	-1.09372	0.195369
7	0.0517685	0.00479347	-1.07009	0.143097
7.5	0.087888	0.00524797	-0.976057	0.0649656
8	0.14345	0.0063692	-1.05739	0.0453831
8.5	0.243024	0.00875021	-1.0995	0.0337032
9	0.421196	0.012974	-1.2469	0.0283152
